Tax,gdppc,doing_business
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
31.5,,11.4
31.5,27717.8473,13.8
33.8,27613.51794,13.8
33.8,28407.12582,10.8
41.1,28456.81653,10.2
48.5,28871.35826,10.4
44.6,29395.61972,10.3
44.6,28941.02823,10.6
42.9,29221.99118,10.7
42.9,29263.80325,8.5
42.9,31080.15801,9.8
42.9,32409.68704,10.3
,32565.70703,
,32401.13972,
,31990.34987,
,32391.31379,
,33505.41317,
,33271.18322,
,32990.76145,
,32142.34177,
,30362.39197,
,29307.06201,
,29036.65595,
,28221.967,
,27455.0334,
,27081.17517,
,27508.44527,
,29152.33566,
,30991.96834,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,50669.31477,
,52137.30037,
,54984.51039,
,56395.0078,
,57151.91913,
,60675.98209,
,60117.45991,
,58784.59329,
,56017.19162,
,55452.63888,
,54549.80116,
,53096.92549,
,54245.14964,
,51140.23684,
,47199.84145,
,45911.6865,
,44514.10942,
,42816.96324,
,41999.25946,
,40518.40782,
,40557.22016,
,39584.32986,
,39322.10918,
,40553.25852,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
35.3,,7.3
35.3,16869.29344,7.6
34.7,16744.64236,7.7
34.7,16460.15411,7.1
34.6,16360.55461,7.6
34.6,16408.31751,7.2
34.7,16460.67146,7.2
35,16472.0832,7.6
,16424.9281,
,16446.09461,
,17197.60169,
,17249.15055,
,17018.57123,
,16166.15108,
,15600.34818,
,15430.97978,
,15147.95896,
,15071.54115,
,15486.51706,
,14877.29079,
,14882.76036,
,14400.15937,
,13800.31417,
,13323.08335,
,13105.561,
,12672.08408,
,12562.33359,
,13552.65526,
,14153.3882,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
8,,1.2
8,71809.25058,1.1
8,71788.78323,1.5
8,74600.1643,1.2
15.8,76089.28657,10.4
15.8,79070.24593,10
15.4,81993.93208,10.7
16.7,82434.88309,11.9
15.7,80552.86447,13.6
30.1,79512.75501,9.9
37.4,81905.65813,9.2
37.4,84503.53876,9.1
37.4,85424.55836,8.9
,82967.11276,
,83942.21941,
,84970.73553,
,84125.44059,
,82596.77622,
,82049.58086,
,81476.15172,
,80813.33691,
,83138.22352,
,86411.96446,
,86116.01773,
,84607.17457,
,84290.36664,
,86423.28356,
,84879.79213,
,84672.3915,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
20.5,,0.3
20.9,44017.59091,0.4
21,43238.2596,0.4
21.1,43149.47584,0.4
21.1,43079.14252,0.4
19.9,42339.37888,0.4
